acalabrutinib i,2
acalabrutinib ,2
NICE ,2
 of acalabrutinib ,2
 CLL ,2
 for ,23
AstraZeneca’s Calquence ,5
Acalabrutinib ,3
 March 2021,2
e for ,19
 of acalabrutinib,8
 chronic lymphocytic leuk,2
AstraZeneca’s Calquence for ,2
 #CLL ,4
CALQUENCE ,23
 Acalabrutinib ,2
@NICEComms ,2
Safety and Antitumor Activity of Acalabrutinib for Relapsed/Refractory B-cell Malignancies: A Japanese Phase I Study ,2
 study ,3
Calquence,2
Calquence ,2
: Acalabrutinib,18
 acalabrutinib,2
 acalabrutinib in ,8
&amp;,3
 acalabrutinib ,4
The role of acalabrutinib in adults with chronic lymphocytic leukemia ,2
The role of acalabrutinib in adults with chronic lymphocytic leukemia,2
ts with chronic lymphocytic l,2
calabrutinib ,3
Acalabrutinib a,3
$AZN ,17
 Acalabrutinib,4
 Survival Likely Affected by Reason for Acalabrutinib,2
Acalabrutinib,5
In this ,2
calabrutinib,11
 #CLL,4
patients with ,47
 chronic lymphocytic,51
 Acalabrutinib h,2
"AstraZeneca, with new data, claims its leukemia drug is safer than Imbruvica ",3
 ELEVATE-RR trial ,2
leukemia drug,2
 head-to-head ,5
 patients with ,7
AstraZeneca,14
Acalabrutinib Shows Noninferior PFS,2
 Chronic Lymphocytic Leukemia,8
Imbruvica ,3
 for the treatment of ,17
#Astrazeneca reported that #C,5
pproved in Japan for ,9
 Imbruvica in ,5
AstraZeneca touts Calquence safety win against Imbruvica in leukemia trial,2
 Phase III ,3
 Imbruvica,3
brutinib,3
CALQUENCE Met Primary Efficacy Endpoint in Head-to-Head Trial Against ibrutinib in Chronic Lymphocytic Leukemia ,2
$AZN $,2
ays Calquence ,7
 AstraZeneca ,2
AstraZeneca's Calquence ,6
reatment,3
Calquence met primary efficacy endpoint in ,3
s Calquence ,3
 lymphocytic leukaemia ,6
AstraZeneca's C,2
gainst ibrutinib,6
 Primary Efficacy Endpoint,8
 lymphocytic leukaemia study ,2
CALQUENCE Met Primary Efficacy Endpoint in Head-to-Head Trial Against ibrutinib in Chronic Lymphocytic Leukemia,2
 ELEVATE-RR Phase III trial ,2
$AZN C,2
AstraZeneca's Calquence successful in lymphocytic leukaemia study ,3
 in Japan for ,4
 Calquence ,2
 Goldman belässt Astrazeneca auf 'Sell' - Ziel 6575 Pence: NEW YORK (dpa-AFX Analyser) - Die US-Investmentbank Goldman Sachs hat die Einstufung für Astrazeneca angesichts positiver Studiendaten mit dem Medikament Calquence zur,2
 chronic lymphocytic leukaemia,2
Calquence approved in Japan for the treatment of relapsed or refractory chronic lymphocytic leukaemia,4
 treatment ,2
AstraZeneca ,8
eneca Says Calquence ,2
 Calquence Met Primary Endpoint Against Ibrutinib,2
$AZN | A,2
Calquence approved in Japan for ,2
ymphocytic ,14
Calquence met primary e,2
 Chronic Lymphocytic Leuk,4
 CALQUENCE,10
: Comparing acalabrutinib to standard treatments in patients with chroni,2
"Acalabrutinib: a highly selective, potent Bruton tyrosine kinase inhibitor for the treatment of chronic lymphocytic leukemia. ",2
 patients with chroni,11
Acalabrutinib Market ,2
r adult patients with chronic lymphocytic leukemia (CLL),3
 chronic lymphocytic leukemia (CLL),3
 chronic lymphocytic leukemia (CLL) ,4
 chronic lymphocytic leukemia ,3
"Rituximab, Acalabrutinib, and Durvalumab (RAD) in Primary CNS Lymphoma.",2
acalabrutinib in,19
 and ,8
ments ,7
#ASH20 ,6
t a median follow-up of 25.9 months,2
"drug, Calquence",3
アストラゼネカのアカラブルチニブ（Calquence®）、4つの試験データによって、慢性リンパ性白血病の患者さんの心血,3
）、4つの試験データによって、慢性リンパ性白血病の患者さんの心血,2
 CALQUENCE for a,9
 Calquence,8
 COVID-19,8
 solidarity trial ng therapeutic,2
ation ,2
